briefDescription,description,functionSummary,chromosome,ORF,Gene,phenotypeSummary,orf_strand,end,start,Gene_ORF
1-acyl-sn-glycerol-3-phosphate acyltransferase,"1-acyl-sn-glycerol-3-phosphate acyltransferase; catalyzes the acylation of lysophosphatidic acid to form phosphatidic acid, a key intermediate in lipid metabolism; enzymatic activity detected in lipid particles and microsomes",,chrIV,YDL052C,SLC1,,-1,363583,362672,SLC1
1-phosphatidylinositol-3-phosphate 5-kinase,"1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis",,chrVI,YFR019W,FAB1,"Non-essential gene; null mutant has defective vacuolar transport and morphology, and displays sensitivity to calcium and metal ions; defective chromosome segregation in the null mutant causes formation of aploid and binucleate cells; in large-scale studies, null mutant shows sensitivity to various chemicals
",1,191338,184502,FAB1
25S ribosomal RNA (25S rRNA),25S ribosomal RNA (25S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript; formed by endonucleolytic cleavage at the C2 site of internal transcribed spacer 2 (ITS2),,chrXII,RDN25-1,RDN25-1,,-1,455181,451786,RDN25-1
25S ribosomal RNA (25S rRNA),25S ribosomal RNA (25S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript; formed by endonucleolytic cleavage at the C2 site of internal transcribed spacer 2 (ITS2),,chrXII,RDN25-2,RDN25-2,,-1,464318,460923,RDN25-2
2-dehydropantoate 2-reductase,"2-dehydropantoate 2-reductase; part of the pantothenic acid pathway, structurally homologous to E. coli panE",Putative 2-dehydropantoate 2-reductase involved in pantothenate biosynthesis; localizes to cytoplasm,chrVIII,YHR063C,PAN5,,-1,225169,224030,PAN5
2-deoxyglucose-6-phosphate phosphatase,"2-deoxyglucose-6-phosphate phosphatase; member of a family of low molecular weight phosphatases; confers 2-deoxyglucose resistance when overexpressed; DOG1 has a paralog, DOG2, that arose from a single-locus duplication; the last half of DOG1 and DOG2 are subject to gene conversions among S. cerevisiae, S. paradoxus, and S. mikatae",2-deoxyglucose-6-phosphate phosphatase involved in glucose metabolism,chrVIII,YHR044C,DOG1,Non-essential gene; overexpression in strain CEN.PK increases resistance to ethanol and isobutanol; in systematic studies null mutation reduces vegetative growth rate and competitive fitness,-1,194808,194068,DOG1
2-deoxyglucose-6-phosphate phosphatase,"2-deoxyglucose-6-phosphate phosphatase; member of a family of low molecular weight phosphatases, induced by oxidative and osmotic stress, confers 2-deoxyglucose resistance when overexpressed; DOG2 has a paralog, DOG1, that arose from a single-locus duplication; the last half of DOG1 and DOG2 are subject to gene conversions among S. cerevisiae, S. paradoxus, and S. mikatae",2-deoxyglucose-6-phosphate phosphatase involved in glucose metabolism; localizes to both nucleus and cytoplasm,chrVIII,YHR043C,DOG2,Non-essential gene; null mutation confers sensitivity to cadmium; in systematic studies mutant shows reduced anaerobic growth and increased competitive fitness,-1,193545,192805,DOG2
2-enoyl thioester reductase,"2-enoyl thioester reductase; member of the medium chain dehydrogenase/reductase family; localized to mitochondria, where it has a probable role in fatty acid synthesis; human MECR functionally complements the respiratory growth defect of the null mutant",,chrII,YBR026C,ETR1,,-1,294019,292877,ETR1
"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase","2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase; involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes; respiratory defect of the null mutant is partially complemented by human COQ5","2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, converts 2-hexaprenyl-6-methoxy-1,4-benzoquinone to 2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone, the fifth step in ubiquinone (Coenzyme Q) biosynthesis; localized to mitochondrial matrix",chrXIII,YML110C,COQ5,"Non-essential gene; null mutant fails to respire and exhibits reduced chronological lifespan and sensitivity to linoleic acid; in large-scale studies, the null mutant shows reduced competitive fitness, sensitivity to desiccation and heat, reduced biofilm formation, and altered resistance to various chemicals
",-1,50954,50031,COQ5
"2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase","2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate in the presence of FAD, with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm",2-hydroxyglutarate transhydrogenase that converts D-2-hydroxyglutarate to alpha-ketoglutarate with concomitant reduction of pyruvate to D-lactate; minor D-lactate dehydrogenase activity; overall contributes to lactate biosynthesis; localizes to the cytoplasm,chrV,YEL071W,DLD3,"Non-essential gene; null mutant shows decreased levels of lactate, fumarate and malate, but increased levels of 2-hydroxyglutarate, 2-oxoglutarate and succinate; in systematic studies mutants are sensitive to hydrogen peroxide and show reduced growth rate",1,17845,16355,DLD3
2-methylisocitrate lyase of the mitochondrial matrix,2-methylisocitrate lyase of the mitochondrial matrix; functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol,,chrXVI,YPR006C,ICL2,,-1,568996,567269,ICL2
2'-O-methyltransferase,2'-O-methyltransferase; responsible for modification of tRNA at position 4; C-terminal domain has similarity to Rossmann-fold (RFM) superfamily of RNA methyltransferases,,chrXV,YOL125W,TRM13,,1,85264,83834,TRM13
2'-O-ribose methyltransferase,2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs,,chrIV,YDL112W,TRM3,,1,263225,258915,TRM3
2'-O-ribose methyltransferase,"2'-O-ribose methyltransferase; methylates the 2'-O-ribose of tRNA-Phe, tRNA-Trp, and tRNA-Leu at positions C32 and N34 of tRNA anticodon loop; crucial biological role likely modification of tRNA-Phe; interacts with Trm732p and Rtt10p in 2'-O-methylation of C32 and N34 substrate tRNAs, respectively; yeast null mutant can be functionally complemented by human FTSJ1, mutations in which have been implicated in nonsyndromic X-linked intellectual disability (NSXLID)",tRNA methyltransferase that catalyzes the posttranscriptional addition of methyl groups to specific residues in tRNA molecules; activity required for cytoplasmic translation,chrII,YBR061C,TRM7,"Non-essential gene; null mutant is sensitive to H2O2; trm7-A26P disease-analogous mutation causes reduced 2'-O-methylation of the anticodon loop of tRNA-Phe; in large-scale studies, the null mutant displays shorter chronological lifespan, decreased competitive fitness, poor growth on galactose, increased transposition of transposable elements, and altered resistance to a variety of chemicals
",-1,365719,364787,TRM7
"3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase)","3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase); required for riboflavin biosynthesis from ribulose-5-phosphate, also has an unrelated function in mitochondrial respiration",,chrIV,YDR487C,RIB3,,-1,1428980,1428354,RIB3
3'-5' DNA helicase involved in error-free bypass of DNA lesions,"3'-5' DNA helicase involved in error-free bypass of DNA lesions; binds flap DNA, stimulates activity of Rad27p and Dna2p; prevents crossovers between ectopic sequences by removing substrates for Mus81-Mms4 or Rad1-Rad10 cleavage; homolog of human FANCM Fanconi anemia protein that is involved in stabilizing and remodeling blocked replication forks; member of SF2 DExD/H superfamily of helicases; nonsense or missense mutations in FANCM can make people more likely to get cancer","3-5 DNA helicase and DNA/RNA helicase; binds flap-structured DNA; involved in Okazaki fragment processing, recombinational repair, interstrand cross-link repair, and negative regulation of strand invasion; also involved in donor selection in mating type switching; localizes to the nucleus and colocalizes with telomeric regions of chromosomes",chrIX,YIR002C,MPH1,,-1,360396,357415,MPH1
3'-5' DNA helicase that has DNA strand annealing activity,3'-5' DNA helicase that has DNA strand annealing activity; helicase activity is stimulated by fork structure and 3'-tail length of substrates; acts with Rad4p in nucleotide-excision repair; belongs to the widely conserved RecQ family of proteins which are involved in maintaining genomic integrity; similar to the human RecQ4p implicated in Rothmund-Thomson syndrome (RTS),,chrIV,YDR291W,HRQ1,,1,1042961,1039728,HRQ1
3'-->5' exonuclease and endonuclease with a possible role in apoptosis,3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases,,chrII,YBL055C,,,-1,116829,115573,YBL055C
3'-5' exonuclease specific for poly-A RNAs,"3'-5' exonuclease specific for poly-A RNAs; has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; similar to Ngl1p; NGL3 has a paralog, NGL2, that arose from the whole genome duplication",,chrXIII,YML118W,NGL3,,1,33851,32334,NGL3
3'-5' exoribonuclease,3'-5' exoribonuclease; component of the mitochondrial degradosome along with the ATP-dependent RNA helicase Suv3p; the degradosome associates with the ribosome and mediates turnover of aberrant or unprocessed RNAs,"Subunit of mitochondrial degradosome, has exonuclease activity that cleaves RNA in the 3' to 5' direction; essential for mitochondrial biogenesis",chrXIII,YMR287C,DSS1,"Non-essential gene; null mutant is incapable of respiratory growth on nonfermentable carbon sources; in competitive growth experiments homozygous null mutant diploids show decreased fitness and increased sensitivity to oxidative stress but increased resistance to chemicals that disrupt cell wall (caffeine, Calcofluor White), DNA (MMS, doxorubicin), and cytoskeleton (benomyl)",-1,845345,842436,DSS1
3'-5' exoribonuclease,3'-5' exoribonuclease; required for maturation of 3' ends of 5S rRNA and tRNA-Arg3 from dicistronic transcripts,,chrVII,YGR276C,RNH70,,-1,1045480,1043819,RNH70
3'-5' RNA exonuclease,"3'-5' RNA exonuclease; involved in 3'-end processing of U4 and U5 snRNAs, 5S and 5.8S rRNAs, and RNase P and RNase MRP RNA; localized to mitochondria and null suppresses escape of mtDNA to nucleus in yme1 yme2 mutants; RNase D exonuclease",,chrXII,YLR059C,REX2,,-1,260547,259738,REX2
35S ribosomal RNA (35S rRNA) transcript,"35S ribosomal RNA (35S rRNA) transcript; encoded by the RDN1 locus; processed into the 25S, 18S and 5.8S rRNAs (represented by the RDN25, RDN18, and RDN58 loci)",,chrXII,RDN37-1,RDN37-1,,-1,458432,451575,RDN37-1
35S ribosomal RNA (35S rRNA) transcript,"35S ribosomal RNA (35S rRNA) transcript; encoded by the RDN1 locus; processed into the 25S, 18S and 5.8S rRNAs (represented by the RDN25, RDN18, and RDN58 loci)",,chrXII,RDN37-2,RDN37-2,,-1,467569,460712,RDN37-2
3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase,3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan,,chrIV,YDR035W,ARO3,"Non-essential gene; in systematic studies null mutant is sensitive to ethanol and shows decreased competitive fitness
",1,522928,521816,ARO3
3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase,3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan; relative distribution to the nucleus increases upon DNA replication stress,,chrII,YBR249C,ARO4,"Non-essential gene; in systematic studies null mutant shows decreased competitive fitness and decreased ability to utilize galactose as carbon source
",-1,717994,716882,ARO4
3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase,3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase; catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA; involved in the second step in mevalonate biosynthesis,,chrXIII,YML126C,ERG13,"Essential gene; conditional (ts) mutations cause ergosterol auxotrophy at permissive temperatures; depletion leads to abnormal mitochondrial morphology; reduction-of-function mutations result in increased sensitivity to benomyl, hydroxyurea and rapamycin; overexpression causes slow growth and increased resistance to doxorubicin
",-1,20535,19060,ERG13
3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase,3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase; multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway; mutation is functionally complemented by human HSD17B4,Enoyl-CoA hydratase and 3-hydroxyacyl-CoA dehydrogenase; has role in fatty acid beta-oxidation; putatively localizes to peroxisome in high-throughput studies,chrXI,YKR009C,FOX2,"Non-essential gene; mutants display sensitivity to oleic acid, palmitoleic acids, hygromycin B, Calcofluor White
",-1,457054,454352,FOX2
3-hydroxyanthranilic acid dioxygenase,3-hydroxyanthranilic acid dioxygenase; required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p,3-hydroxyanthranilic acid dioxygenase involved in de novo NAD biosynthesis from tryptophan; localizes to the cytoplasm,chrX,YJR025C,BNA1,Non-essential gene; null mutant is auxotrophic for nicotinic acid and grows slowly; in systematic studies null mutants show increased sensitivity to His3p inhibitor amitrole and to calcium chelator BAPTA,-1,471671,471138,BNA1
3-hydroxyaspartate dehydratase,3-hydroxyaspartate dehydratase; deaminates L-threo-3-hydroxyaspartate to form oxaloacetate and ammonia; required in the presence of hydroxyaspartate; highly similar to mouse serine racemase (Srr) but has no serine racemase activity,Threo-3-hydroxyaspartate ammonia-lyase involved in catabolism of modified amino acids,chrXI,YKL218C,SRY1,,-1,18339,17359,SRY1
3-hydroxyisobutyryl-CoA hydrolase,3-hydroxyisobutyryl-CoA hydrolase; member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; phosphorylated; mutation affects fluid-phase endocytosis,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion; catalyzes the hydrolysis of 3-hydroxyisobutyryl-CoA",chrIV,YDR036C,EHD3,,-1,524713,523211,EHD3
3-ketoacyl-CoA thiolase with broad chain length specificity,3-ketoacyl-CoA thiolase with broad chain length specificity; cleaves 3-ketoacyl-CoA into acyl-CoA and acetyl-CoA during beta-oxidation of fatty acids,,chrIX,YIL160C,POT1,,-1,41444,40191,POT1
3-ketosphinganine reductase,3-ketosphinganine reductase; catalyzes the second step in phytosphingosine synthesis; essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine; localized to lipid droplets; member of short chain dehydrogenase/reductase protein family,"3-ketosphinganine reductase of the chemical reactions and pathways involving 3-keto-dihydrosphingosine; also involved in the formation of sphingolipids; localizes to lipid particles, endoplasmic reticulum, and outer membranes of mitochondria",chrII,YBR265W,TSC10,"Essential gene; diploid heterozygous null mutant is sensitive to dihydromotuporamine C; in large-scale studies, repression confers lower competitive fitness, sensitivity to HU and MMS, and resistance to myriocin; diploid heterozygous null mutant is sensitive to a human cationic antimicrobial peptide
",1,739544,738582,TSC10
3-keto sterol reductase,3-keto sterol reductase; catalyzes the last of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants are sterol auxotrophs; mutation is functionally complemented by human HSD17B7,3-keto sterol reductase involved in ergosterol biosynthesis; localizes to endoplasmic reticulum membrane and lipid bodies and to mitochondrial outer membrane in high-throughput studies,chrXII,YLR100W,ERG27,"Essential gene under standard conditions; null mutant can grow when supplied with ergosterol; repression causes abnormal mitochondrial morphology and sensitivity to hydroxyurea; conditional mutation confers resistance to K28 killer toxin
",1,342853,341810,ERG27
3-methyl-adenine DNA glycosylase,3-methyl-adenine DNA glycosylase; involved in protecting DNA against alkylating agents; initiates base excision repair by removing damaged bases to create abasic sites that are subsequently repaired; protein abundance increases in response to DNA replication stress,,chrV,YER142C,MAG1,,-1,456036,455146,MAG1
3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase,"3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway; restores resistance to glycolaldehyde by coupling reduction of glycolaldehyde to ethylene glycol and oxidation of NADPH to NADP+; protein abundance increases in response to DNA replication stress; methylglyoxal reductase (NADPH-dependent) is also known as D-lactaldehyde dehydrogenase",,chrXV,YOL151W,GRE2,,1,44722,43694,GRE2
3'-phosphoadenylsulfate reductase,"3'-phosphoadenylsulfate reductase; reduces 3'-phosphoadenylyl sulfate to adenosine-3',5'-bisphosphate and free sulfite using reduced thioredoxin as cosubstrate, involved in sulfate assimilation and methionine metabolism",,chrXVI,YPR167C,MET16,,-1,877632,876847,MET16
3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase,"3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER33 has a paralog, SER3, that arose from the whole genome duplication",3-phosphoglycerate dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; 3-phosphoglycerate dehydrogenase that converts alpha-ketoglutarate to D-2-hydroxyglutarate; localizes to the cytoplasm,chrIX,YIL074C,SER33,,-1,222490,221081,SER33
3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase,"3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER3 has a paralog, SER33, that arose from the whole genome duplication",3-phosphoglycerate dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; 3-phosphoglycerate dehydrogenase that converts alpha-ketoglutarate to D-2-hydroxyglutarate; localizes to the cytoplasm,chrV,YER081W,SER3,,1,324095,322686,SER3
3-phosphoglycerate kinase,"3-phosphoglycerate kinase; catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis","Phosphoglycerate kinase involved in glycolysis and gluconeogenesis; localizes to the plasma membrane, mitochondria, and cytoplasm",chrIII,YCR012W,PGK1,"Essential gene under standard conditions; null mutant is unable to utilize glucose, galactose, or glycerol carbon sources but can grow on ethanol; overexpression confers increased growth rate; in large-scale studies, mutants exhibit chromosome instability and reduced starvation resistance
",1,138996,137746,PGK1
3-phosphoserine aminotransferase,"3-phosphoserine aminotransferase; catalyzes the formation of phosphoserine from 3-phosphohydroxypyruvate, required for serine and glycine biosynthesis; regulated by the general control of amino acid biosynthesis mediated by Gcn4p; protein abundance increases in response to DNA replication stress",Cytoplasmic O-phospho-L-serine:2-oxoglutarate aminotransferase involved in serine and purine nuclease biosynthesis,chrXV,YOR184W,SER1,,1,680544,679357,SER1
"5,10-methenyltetrahydrofolate synthetase","5,10-methenyltetrahydrofolate synthetase; involved in folic acid biosynthesis","Methenyltetrahydrofolate synthetase involved in folic acid-containing compound biosynthesis; predicted to localize to cytoplasm, localizes to mitochondrion in high-throughput studies",chrV,YER183C,FAU1,,-1,553969,553334,FAU1
5'-3' exonuclease and flap-endonuclease,"5'-3' exonuclease and flap-endonuclease; involved in recombination, double-strand break repair, MMS2 error-free branch of the post replication (PRR) pathway and DNA mismatch repair; role in telomere maintenance; member of the Rad2p nuclease family, with conserved N and I nuclease domains; relative distribution to the nucleus increases upon DNA replication stress; EXO1 has a paralog, DIN7, that arose from the whole genome duplication","5'-3' exonuclease and 5-flap endonuclease involved in DNA double-strand break processing, gene conversion at mating-type locus, and mismatch repair; also involved in telomere maintenance and telomeric 3 overhang formation; localizes to the nucleus",chrXV,YOR033C,EXO1,"Non-essential gene; null mutant is sensitive to MMS and phleomycin; sumoylation of Rad52p and Rfa1p in response to DNA damage is reduced in the null mutant and increased in an activated mutant; in large-scale studies the null mutant displays decreased cell size and altered resistance to various chemicals
",-1,394524,392416,EXO1
5.8S ribosomal RNA (5.8S rRNA),5.8S ribosomal RNA (5.8S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1),,chrXII,RDN58-2,RDN58-2,,-1,464708,464551,RDN58-2
5.8S ribosomal RNA (5.8S rRNA),5.8S ribosomal RNA (5.8S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript; 3' end formation involves processing by the exosome complex while 5' end is generated by Kem1p and Rat1p,,chrXII,RDN58-1,RDN58-1,,-1,455571,455414,RDN58-1
5-aminolevulinate synthase,5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p,,chrIV,YDR232W,HEM1,,1,929098,927452,HEM1
5'- and 3'-flap DNA binding protein,5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus,,chrI,YAL027W,SAW1,Non-essential gene; null mutant shows increased mitotic rDNA recombination and decreased competitive fitness,1,95472,94687,SAW1
5'-methylthioribose-1-phosphate isomerase,5'-methylthioribose-1-phosphate isomerase; catalyzes the isomerization of 5-methylthioribose-1-phosphate to 5-methylthioribulose-1-phosphate in the methionine salvage pathway,A S-methyl-5-thioribose-1-phosphate isomerase involved in the generation of L-methionine from methylthioadenosine; cellular process unknown,chrXVI,YPR118W,MRI1,,1,768987,767752,MRI1
5'-methylthioribulose-1-phosphate dehydratase,5'-methylthioribulose-1-phosphate dehydratase; acts in the methionine salvage pathway; potential Smt3p sumoylation substrate; expression downregulated by caspofungin and deletion mutant is caspofungin resistant,,chrX,YJR024C,MDE1,,-1,470964,470230,MDE1
5-oxoprolinase,5-oxoprolinase; enzyme is ATP-dependent and functions as a dimer; similar to mouse Oplah gene; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; protein abundance increases in response to DNA replication stress,,chrXI,YKL215C,OXP1,,-1,30687,26827,OXP1
5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes","Subunit of a PRPP synthetase complex, which synthesizes 5-phosphoribose 1-diphosphate and is important for cell wall integrity",chrVIII,YHL011C,PRS3,,-1,81616,80654,PRS3
5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress","Subunit of a PRPP synthetase complex, which synthesizes 5-phosphoribose 1-diphosphate and is important for cell wall integrity",chrXV,YOL061W,PRS5,,1,213734,212244,PRS5
