# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_bidirectional_gene_fusion	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_duplication	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_gene_fusion	variants_effect_inversion	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
CDS_VII_818060_822022	GENE_CDS_VII_818060_822022	YGR161C-D	protein_coding	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CDS_VII_822006_823328	GENE_CDS_VII_822006_823328	YGR161C-C	protein_coding	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CDS_VI_138270_139562	GENE_CDS_VI_138270_139562	YFL002W-A	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDS_VI_138270_139586	GENE_CDS_VI_138270_139586	YFL002W-B	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDS_V_443707_447672	GENE_CDS_V_443707_447672	YER138C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_V_447653_448975	GENE_CDS_V_447653_448975	YER137C-A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_XIII_184501_185805	GENE_CDS_XIII_184501_185805	YML045W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_XIII_184501_185823	GENE_CDS_XIII_184501_185823	YML045W-A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_XIII_196668_197972	GENE_CDS_XIII_196668_197972	YML039W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDS_XIII_196668_197990	GENE_CDS_XIII_196668_197990	YML040W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDS_XII_216009_219476	GENE_CDS_XII_216009_219476	YLR035C-A	protein_coding	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
CDS_XII_651716_653038	GENE_CDS_XII_651716_653038	YLR256W-A	protein_coding	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
CDS_XIV_519665_520969	GENE_CDS_XIV_519665_520969	YNL054W-B	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_XIV_97203_101165	GENE_CDS_XIV_97203_101165	YNL284C-B	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDS_X_198677_198997	GENE_CDS_X_198677_198997	YJL113W	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
R0010W	R0010W	TRANSCRIPT_R0010W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
R0020C	R0020C	TRANSCRIPT_R0020C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
R0030W	R0030W	TRANSCRIPT_R0030W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
R0040C	R0040C	TRANSCRIPT_R0040C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YAL021C	YAL021C	TRANSCRIPT_YAL021C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YAL022C	YAL022C	TRANSCRIPT_YAL022C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YAL023C	YAL023C	TRANSCRIPT_YAL023C	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YAL024C	YAL024C	TRANSCRIPT_YAL024C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YAL062W	YAL062W	TRANSCRIPT_YAL062W	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
YAL063C	YAL063C	TRANSCRIPT_YAL063C	protein_coding	9	0	0	0	0	0	0	0	1	0	4	7	0	0	0	0	0	0	0
YAL063C-A	YAL063C-A	TRANSCRIPT_YAL063C-A	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
YAL064W	YAL064W	TRANSCRIPT_YAL064W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YAL068W-A	YAL068W-A	TRANSCRIPT_YAL068W-A	protein_coding	38	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	36	0
YAL069W	YAL069W	TRANSCRIPT_YAL069W	protein_coding	51	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	48	0
YAR023C	YAR023C	TRANSCRIPT_YAR023C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YAR027W	YAR027W	TRANSCRIPT_YAR027W	protein_coding	1	1	0	2	0	0	0	2	1	0	1	1	0	1	0	0	0	0	0
YAR028W	YAR028W	TRANSCRIPT_YAR028W	protein_coding	0	0	1	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
YAR029W	YAR029W	TRANSCRIPT_YAR029W	protein_coding	0	0	1	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
YAR030C	YAR030C	TRANSCRIPT_YAR030C	protein_coding	0	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2
YAR031W	YAR031W	TRANSCRIPT_YAR031W	protein_coding	3	0	0	3	0	1	0	2	1	0	1	0	0	1	0	0	1	0	1
YAR033W	YAR033W	TRANSCRIPT_YAR033W	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
YAR035C-A	YAR035C-A	TRANSCRIPT_YAR035C-A	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
YAR035W	YAR035W	TRANSCRIPT_YAR035W	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
YAR042W	YAR042W	TRANSCRIPT_YAR042W	protein_coding	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2
YAR047C	YAR047C	TRANSCRIPT_YAR047C	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
YAR050W	YAR050W	TRANSCRIPT_YAR050W	protein_coding	10	0	3	0	0	2	1	0	0	0	6	7	0	0	0	0	0	0	0
YAR053W	YAR053W	TRANSCRIPT_YAR053W	protein_coding	8	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7
YAR073W	YAR073W	TRANSCRIPT_YAR073W	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YBL005W	YBL005W	TRANSCRIPT_YBL005W	protein_coding	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0
YBL006C	YBL006C	TRANSCRIPT_YBL006C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBL006W-A	YBL006W-A	TRANSCRIPT_YBL006W-A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL007C	YBL007C	TRANSCRIPT_YBL007C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBL030C	YBL030C	TRANSCRIPT_YBL030C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL031W	YBL031W	TRANSCRIPT_YBL031W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBL032W	YBL032W	TRANSCRIPT_YBL032W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBL033C	YBL033C	TRANSCRIPT_YBL033C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL034C	YBL034C	TRANSCRIPT_YBL034C	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
YBL035C	YBL035C	TRANSCRIPT_YBL035C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBL093C	YBL093C	TRANSCRIPT_YBL093C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL094C	YBL094C	TRANSCRIPT_YBL094C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL095W	YBL095W	TRANSCRIPT_YBL095W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBL096C	YBL096C	TRANSCRIPT_YBL096C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL097W	YBL097W	TRANSCRIPT_YBL097W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBL098W	YBL098W	TRANSCRIPT_YBL098W	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBL099W	YBL099W	TRANSCRIPT_YBL099W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBL100C	YBL100C	TRANSCRIPT_YBL100C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR078W	YBR078W	TRANSCRIPT_YBR078W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR079C	YBR079C	TRANSCRIPT_YBR079C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR080C	YBR080C	TRANSCRIPT_YBR080C	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR081C	YBR081C	TRANSCRIPT_YBR081C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR085C-A	YBR085C-A	TRANSCRIPT_YBR085C-A	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR086C	YBR086C	TRANSCRIPT_YBR086C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR087W	YBR087W	TRANSCRIPT_YBR087W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR088C	YBR088C	TRANSCRIPT_YBR088C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR089C-A	YBR089C-A	TRANSCRIPT_YBR089C-A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR089W	YBR089W	TRANSCRIPT_YBR089W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR090C	YBR090C	TRANSCRIPT_YBR090C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR091C	YBR091C	TRANSCRIPT_YBR091C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR092C	YBR092C	TRANSCRIPT_YBR092C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR093C	YBR093C	TRANSCRIPT_YBR093C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR094W	YBR094W	TRANSCRIPT_YBR094W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR095C	YBR095C	TRANSCRIPT_YBR095C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR096W	YBR096W	TRANSCRIPT_YBR096W	protein_coding	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
YBR097W	YBR097W	TRANSCRIPT_YBR097W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR098W	YBR098W	TRANSCRIPT_YBR098W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR218C	YBR218C	TRANSCRIPT_YBR218C	protein_coding	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
YBR259W	YBR259W	TRANSCRIPT_YBR259W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR260C	YBR260C	TRANSCRIPT_YBR260C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR261C	YBR261C	TRANSCRIPT_YBR261C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR262C	YBR262C	TRANSCRIPT_YBR262C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR263W	YBR263W	TRANSCRIPT_YBR263W	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR264C	YBR264C	TRANSCRIPT_YBR264C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR265W	YBR265W	TRANSCRIPT_YBR265W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR266C	YBR266C	TRANSCRIPT_YBR266C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR267W	YBR267W	TRANSCRIPT_YBR267W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR268W	YBR268W	TRANSCRIPT_YBR268W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YBR269C	YBR269C	TRANSCRIPT_YBR269C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR274W	YBR274W	TRANSCRIPT_YBR274W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR275C	YBR275C	TRANSCRIPT_YBR275C	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR276C	YBR276C	TRANSCRIPT_YBR276C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR277C	YBR277C	TRANSCRIPT_YBR277C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YBR278W	YBR278W	TRANSCRIPT_YBR278W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCL014W	YCL014W	TRANSCRIPT_YCL014W	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
YCL016C	YCL016C	TRANSCRIPT_YCL016C	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
YCL017C	YCL017C	TRANSCRIPT_YCL017C	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
YCL018W	YCL018W	TRANSCRIPT_YCL018W	protein_coding	53	0	1	0	1	1	0	0	0	0	4	2	0	0	0	0	0	48	0
YCL043C	YCL043C	TRANSCRIPT_YCL043C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCL044C	YCL044C	TRANSCRIPT_YCL044C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCL045C	YCL045C	TRANSCRIPT_YCL045C	protein_coding	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0
YCL046W	YCL046W	TRANSCRIPT_YCL046W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCL047C	YCL047C	TRANSCRIPT_YCL047C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCL048W	YCL048W	TRANSCRIPT_YCL048W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCL048W-A	YCL048W-A	TRANSCRIPT_YCL048W-A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCL049C	YCL049C	TRANSCRIPT_YCL049C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCL057C-A	YCL057C-A	TRANSCRIPT_YCL057C-A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCL057W	YCL057W	TRANSCRIPT_YCL057W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCL058C	YCL058C	TRANSCRIPT_YCL058C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCL058W-A	YCL058W-A	TRANSCRIPT_YCL058W-A	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCL059C	YCL059C	TRANSCRIPT_YCL059C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCL061C	YCL061C	TRANSCRIPT_YCL061C	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YCL063W	YCL063W	TRANSCRIPT_YCL063W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCL064C	YCL064C	TRANSCRIPT_YCL064C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCR004C	YCR004C	TRANSCRIPT_YCR004C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCR005C	YCR005C	TRANSCRIPT_YCR005C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCR006C	YCR006C	TRANSCRIPT_YCR006C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCR007C	YCR007C	TRANSCRIPT_YCR007C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR008W	YCR008W	TRANSCRIPT_YCR008W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR009C	YCR009C	TRANSCRIPT_YCR009C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR010C	YCR010C	TRANSCRIPT_YCR010C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR011C	YCR011C	TRANSCRIPT_YCR011C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR012W	YCR012W	TRANSCRIPT_YCR012W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR013C	YCR013C	TRANSCRIPT_YCR013C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR014C	YCR014C	TRANSCRIPT_YCR014C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR015C	YCR015C	TRANSCRIPT_YCR015C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR016W	YCR016W	TRANSCRIPT_YCR016W	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCR017C	YCR017C	TRANSCRIPT_YCR017C	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCR037C	YCR037C	TRANSCRIPT_YCR037C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCR038C	YCR038C	TRANSCRIPT_YCR038C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCR038W-A	YCR038W-A	TRANSCRIPT_YCR038W-A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCR039C	YCR039C	TRANSCRIPT_YCR039C	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YCR040W	YCR040W	TRANSCRIPT_YCR040W	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YCR041W	YCR041W	TRANSCRIPT_YCR041W	protein_coding	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
YCR042C	YCR042C	TRANSCRIPT_YCR042C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR043C	YCR043C	TRANSCRIPT_YCR043C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR044C	YCR044C	TRANSCRIPT_YCR044C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR045C	YCR045C	TRANSCRIPT_YCR045C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR045W-A	YCR045W-A	TRANSCRIPT_YCR045W-A	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR046C	YCR046C	TRANSCRIPT_YCR046C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR047C	YCR047C	TRANSCRIPT_YCR047C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR047W-A	YCR047W-A	TRANSCRIPT_YCR047W-A	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR048W	YCR048W	TRANSCRIPT_YCR048W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR049C	YCR049C	TRANSCRIPT_YCR049C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR050C	YCR050C	TRANSCRIPT_YCR050C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR051W	YCR051W	TRANSCRIPT_YCR051W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR052W	YCR052W	TRANSCRIPT_YCR052W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR053W	YCR053W	TRANSCRIPT_YCR053W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR054C	YCR054C	TRANSCRIPT_YCR054C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR057C	YCR057C	TRANSCRIPT_YCR057C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR059C	YCR059C	TRANSCRIPT_YCR059C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR060W	YCR060W	TRANSCRIPT_YCR060W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR061W	YCR061W	TRANSCRIPT_YCR061W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR063W	YCR063W	TRANSCRIPT_YCR063W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR064C	YCR064C	TRANSCRIPT_YCR064C	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
YCR065W	YCR065W	TRANSCRIPT_YCR065W	protein_coding	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
